
time = 0.02 min, beta = 0.250000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.250000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.250000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.01 min, beta = 0.250000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.250000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.250000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.250000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.250000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.256250, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.256250, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.256250, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.256250, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.256250, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.262500, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.262500, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.262500, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.06 min, beta = 0.262500, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.07 min, beta = 0.262500, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.268750, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.268750, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.06 min, beta = 0.268750, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.09 min, beta = 0.268750, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.11 min, beta = 0.268750, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.275000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.275000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.275000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.11 min, beta = 0.275000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.16 min, beta = 0.275000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.281250, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.281250, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.09 min, beta = 0.281250, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.15 min, beta = 0.281250, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.20 min, beta = 0.281250, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.287500, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.06 min, beta = 0.287500, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.10 min, beta = 0.287500, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.15 min, beta = 0.287500, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.21 min, beta = 0.287500, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.293750, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.06 min, beta = 0.293750, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.10 min, beta = 0.293750, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.16 min, beta = 0.293750, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.23 min, beta = 0.293750, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.03 min, beta = 0.300000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.06 min, beta = 0.300000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.11 min, beta = 0.300000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.17 min, beta = 0.300000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.24 min, beta = 0.300000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000
